authors,year,name,cites,content
"J Tucek, S Lu, C Huang, S Xanthos ",2007,Triage: diagnosing production run failures at the user s site,171,"Diagnosing production run failures is a challenging yet importanttask. Most previous work focuses on offsite diagnosis, i.e.development site diagnosis with the programmers present. This is insufficient for production run failures as:  1  it is difficult to reproduce failures offsite for diagnosis   2  offsite diagnosis cannot provide timely guidance for recovery or security purposes   3 it is infeasible to provide a programmer to diagnose every production run failure  and  4  privacy concerns limit the release of information e.g. coredumps  to programmers. To address production run failures, we propose a system, called Triage, that automatically performs onsite software failure diagnosis at the very moment of failure. It provides a detailed diagnosis report, including the failure nature, triggering conditions, related code and variables, the fault propagation chain, and potential fixes. Triage achieves this by leveraging lightweight reexecution support to efficiently capture the failure environment and repeatedly replay the moment of failure, and dynamically using different diagnosis techniques analyze an occurring failure. Triage employs afailure diagnosis protocol that mimics the steps a human takes in debugging. This extensible protocol provides a framework to enable the use of various existing and new diagnosis techniques. We also propose a new failure diagnosis technique, delta analysis, to identify failure related conditions, code, and variables. We evaluate these ideas in real system experiments with 10 real software failures from 9 open source applications including four servers. Triage accurately diagnoses the evaluated failures, providing likely root causes and even the fault propagation chain, while keeping normal run overhead to under 5 . Finally, our user study of the diagnosis and repair of real bugs shows that Triagesaves time  99.99  confidence , reducing the total time to fix by almost half."
"A Lamkanfi, J P rez, S Demeyer",2013,The eclipse and mozilla defect tracking dataset: a genuine dataset for mining bug information,44,"The analysis of bug reports is an important subfield within the mining software repositories community. It explores the rich data available in defect tracking systems to uncover interesting and actionable information about the bug triaging process. While bug data is readily accessible from systems like Bugzilla and JIRA, a common database schema and a curated dataset could significantly enhance future research because it allows for easier replication. Consequently, in this paper we propose the Eclipse and Mozilla Defect Tracking Dataset, a representative database of bug data, filtered to contain only genuine defects  i.e., no feature requests  and designed to cover the whole bug triage life cycle  i.e., store all intermediate actions . We have used this dataset ourselves for predicting bug severity, for studying bug fixing time and for identifying erroneously assigned components. Sharing these data with the rest of the community will allow for reproducibility, validation and comparison of the results obtained in bug report analyses and experiments."
"D Wijayasekara, M Manic, JL Wright ",2012,Mining bug databases for unidentified software vulnerabilities,36,"Identifying software vulnerabilities is becoming more important as critical and sensitive systems increasingly rely on complex software systems. It has been suggested in previous work that some bugs are only identified as vulnerabilities long after the bug has been made public. These vulnerabilities are known as hidden impact vulnerabilities. This paper discusses existing bug data mining classifiers and present an analysis of vulnerability databases showing the necessity to mine common publicly available bug databases for hidden impact vulnerabilities. We present a vulnerability analysis from January 2006 to April 2011 for two well known software packages: Linux kernel and MySQL. We show that 32   Linux  and 62   MySQL  of vulnerabilities discovered in this time period were hidden impact vulnerabilities. We also show that the percentage of hidden impact vulnerabilities has increased from 25  to 36  in Linux and from 59  to 65  in MySQL in the last two years. We then propose a hidden impact vulnerability identification methodology based on text mining classifier for bug databases. Finally, we discuss potential challenges faced by a development team when using such a classifier."
SS Alqahtani,2019,Automated Extraction of Security Concerns from Bug Reports,0,"Issue tracker repositories contain a wealth of textual information including bug reports that capture information, often implicit, about Information Security  IS  concerns and vulnerabilities associated with certain issues. Deriving an approach to extract such security concerns from bug reports can yield several benefits, such as bug management  e.g., prioritization  or bug triage. Existing research on Information Extraction  IE  for extracting knowledge from bug reports has mainly focused on supervised learning, which requires a significant amount of human labor in preparing a training corpus. In this paper, we explore a fully automated approach that can extract security concepts  tags  from bug reports without the need for manual training data. This approach can automatically identify and classify bug reports based on their security concepts and textual similarities. In addition, we further enrich these tags with meaningful and representative security names derived from the security domain."
"D Zou, Z Deng, Z Li, H Jin",2018,Automatically identifying security bug reports via multitype features analysis,1,"Bug tracking systems are widely used by software developers to manage bug reports. Since it is time consuming and costly to fix all the bugs, developers usually pay more attention to the bugs with higher impact, such as security bugs  i.e., vulnerabilities  which can be exploited by malicious users to launch attacks and cause great damages. However, manually identifying security bug reports from millions of reports in bug tracking systems is difficult and error prone. Furthermore, existing automated identification approaches to security bug reports often incur many false negatives, causing a hidden danger to the computer system. To address this important problem, we present an automatic security bug reports identification model via multitype features analysis, dubbed Security Bug Report Identifier  SBRer . Specifically, we make use of multiple kinds of information contained in a bug report, including meta features and textual features, to automatically identify the security bug reports via natural language processing and machine learning techniques. The experimental results show that SBRer with imbalanced data processing can successfully identify the security bug reports with a much higher precision of 99.4  and recall of 79.9  compared to existing work."
"V Guana, F Rocha, A Hindle ",2012,Do the stars align? Multidimensional analysis of Android s layered architecture,22,"In this paper we mine the Android bug tracker repository and study the characteristics of the architectural layers of the Android system. We have identified the locality of the Android bugs in the architectural layers of the its infrastructure, and analysed the bug lifetime patterns in each one of them. Additionally, we mined the bug tracker reporters and classified them according to its social centrality in the Android bug tracker community. We report three interesting findings, firstly while some architectural layers have a diverse interaction of people, attracting not only non central reporters but highly important ones, other layers are mostly captivating for peripheral actors. Second, we exposed that even the bug lifetime is similar across the architectural layers, some of them have higher bug density and differential percentages of unsolved bugs. Finally, comparing the popularity distribution between layers, we have identified one particular layer that is more important to developers and users alike."
"Y Tian, D Lo, X Xia, C Sun",2015,Automated prediction of bug report priority using multi factor analysis,59,"Bugs are prevalent. To improve software quality, developers often allow users to report bugs that they found using a bug tracking system such as Bugzilla. Users would specify among other things, a description of the bug, the component that is affected by the bug, and the severity of the bug. Based on this information, bug triagers would then assign a priority level to the reported bug. As resources are limited, bug reports would be investigated based on their priority levels. This priority assignment process however is a manual one. Could we do better? In this paper, we propose an automated approach based on machine learning that would recommend a priority level based on information available in bug reports. Our approach considers multiple factors, temporal, textual, author, related report, severity, and product, that potentially affect the priority level of a bug report. These factors are extracted as features which are then used to train a discriminative model via a new classification algorithm that handles ordinal class labels and imbalanced data. Experiments on more than a hundred thousands bug reports from Eclipse show that we can outperform baseline approaches in terms of average F measure by a relative improvement of up to 209  ."
"I Chawla, SK Singh",2014,Automatic bug labeling using semantic information from LSI,7,"Most open source projects provide a defect tracking system, where users, developers, testers can directly report the problems. The fields provided in the bug report help triager and debugger to understand the problem better. They also help in other tasks like accurate assessment of priority and severity of bugs, identification of appropriate developer to resolve bugs etc. Label field in the bug report is one such field. It has been observed that in many bug repositories, the label field is either not present or is incorrectly assigned. There is a need for automatic bug labeling so that bug reports could be made more informative. This paper presents an automated technique for bug labeling using TF IDF and LSI. Experimental study shows that there is improvement in results with the addition of semantically similar words obtained from LSI in conjunction with the terms extracted using TF IDF. Using LSI along with TF IDF, we achieved 61.5  accuracy for the polish bug reports and 62.8  accuracy for security bug reports as compared to 53.8  accuracy for polish and 61  for security bug reports from using TF IDF alone."
"A Bansal, R Malhotra, K Raje",2016,Analyzing and assessing the security related defects,4,"The use of the Internet has become an integral part of everyone s life. Due to this, the introduction of virus and other malicious crackers is increasing everyday. This in turn leads to the introduction of defects which adversely affect the security. Thus, protecting vital information in this cyber world is not an easy task. We need to deal with security related defects to ensure failure free and smooth functioning of the software. Thus, in this paper, we intend to study and analyze various aspects of security related defects by analyzing the defect reports available in various open source software repositories. Besides this, prediction models can also be constructed which can be used by researchers and practitioners to predict various aspects of security   related defects. Such prediction models are especially beneficial for large scale systems, where testing experts need to focus their attention and resources to the problem areas of the system under development. Thus, application of software prediction models in the early phases of the software life cycle contributes to efficient defect removal and results in delivering more reliable and better quality software products. Empirical studies lack the use of proper research methodology and thus result in reporting inconsistent results. This study will review the sequence of steps followed in the research process for carrying empirical and replicated studies. The steps include  a  literature survey and definition of variables  b  data collection  c  report findings using statistical and machine learning techniques  d  analyzing performance measures for evaluating the performance of the predicted models and  e  interpretation of the obtained results for developing a software prediction model. These steps are explained with the help of experimental public domain data set. In addition, the paper provides an overview of repositories for mining software engineering data, tools for analyzing this data and various categories of machine learning methods. It also discusses existing research avenues and provides future research directions in this area."
"MN Pushpalatha, M Mrunalini",2016,Predicting the severity of bug reports using classification algorithms,5,"Bug triaging is the process of prioritizing the bug reports based on the severity and is driven by the business needs and available resources. Majority times, only few of the reported bugs are selected to be fixed. The selected bugs are prioritized  ordered  based on their severity  e.g. the bug inhibits an important feature of the product, the bug affects a large number of users  and then fixed according to their priority. If the severity is assigned incorrectly then time and resources may be wasted to fix that bug. Hence there is a need for new techniques to avoid this misuse of resources. In this paper, bagging ensemble method is used for predicting the severity of bug reports. Also, bagging ensemble method is compared with C4.5 classifier. The results have shown that bagging ensemble method gives better accuracy compared to C4.5 general classifier on the given dataset."
"XL Yang, D Lo, X Xia, Q Huang, JL Sun",2017,High impact bug report identification with imbalanced learning strategies,22,"In practice, some bugs have more impact than others and thus deserve more immediate attention. Due to tight schedule and limited human resources, developers may not have enough time to inspect all bugs. Thus, they often concentrate on bugs that are highly impactful. In the literature, high impact bugs are used to refer to the bugs which appear at unexpected time or locations and bring more unexpected effects  i.e., surprise bugs , or break pre existing functionalities and destroy the user experience  i.e., breakage bugs . Unfortunately, identifying high impact bugs from thousands of bug reports in a bug tracking system is not an easy feat. Thus, an automated technique that can identify high impact bug reports can help developers to be aware of them early, rectify them quickly, and minimize the damages they cause. Considering that only a small proportion of bugs are high impact bugs, the identification of high impact bug reports is a difficult task. In this paper, we propose an approach to identify high impact bug reports by leveraging imbalanced learning strategies. We investigate the effectiveness of various variants, each of which combines one particular imbalanced learning strategy and one particular classification algorithm. In particular, we choose four widely used strategies for dealing with imbalanced data and four state of the art text classification algorithms to conduct experiments on four datasets from four different open source projects. We mainly perform an analytical study on two types of high impact bugs, i.e., surprise bugs and breakage bugs. The results show that different variants have different performances, and the best performing variants SMOTE  synthetic minority over sampling technique    KNN  K nearest neighbours  for surprise bug identification and RUS  random under sampling    NB  naive Bayes  for breakage bug identification outperform the F1 scores of the two state of the art approaches by Thung et al. and Garcia and Shihab."
"L Tan, C Liu, Z Li, X Wang, Y Zhou, C Zhai",2014,Bug characteristics in open source software,100,"To design effective tools for detecting and recovering from software failures requires a deep understanding of software bug characteristics. We study software bug characteristics by sampling 2,060 real world bugs in three large, representative open source projects the Linux kernel, Mozilla, and Apache. We manually study these bugs in three dimensions root causes, impacts, and components. We further study the correlation between categories in different dimensions, and the trend of different types of bugs. The findings include:  1  semantic bugs are the dominant root cause. As software evolves, semantic bugs increase, while memory related bugs decrease, calling for more research effort to address semantic bugs   2  the Linux kernel operating system  OS  has more concurrency bugs than its non OS counterparts, suggesting more effort into detecting concurrency bugs in operating system code  and  3  reported security bugs are increasing, and the majority of them are caused by semantic bugs, suggesting more support to help developers diagnose and fix security bugs, especially semantic security bugs. In addition, to reduce the manual effort in building bug benchmarks for evaluating bug detection and diagnosis tools, we use machine learning techniques to classify 109,014 bugs automatically."
"PJ Guo, T Zimmermann, N Nagappan ",2011,  Not my bug!  and other reasons for software bug report reassignments,123,"Bug reporting fixing is an important social part of the soft ware development process. The bug fixing process inher ently has strong inter personal dynamics at play, especially in how to find the optimal person to handle a bug report. Bug report reassignments, which are a common part of the bug fixing process, have rarely been studied. In this paper, we present a large scale quantitative and qualitative analysis of the bug reassignment process in the Microsoft Windows Vista operating system project. We quantify social interactions in terms of both useful and harmful reassignments. For instance, we found that reassignments are useful to determine the best person to fix a bug, contrary to the popular opinion that reassignments are always harmful. We categorized five primary reasons for reassignments: finding the root cause, determining ownership, poor bug report quality, hard to determine proper fix, and workload balancing. We then use these findings to make recommendations for the design of more socially aware bug tracking systems that can overcome some of the inefficiencies we observed in our study."
"M Alenezi, S Banitaan",2013,Bug reports prioritization: Which features and classifier to use?,24,"Large open source bug tracking systems receives large number of bug reports daily. Managing these huge numbers of incoming bug reports is a challenging task. Dealing with these reports manually consumes time and resources which leads to delaying the resolution of important bugs which are crucial and need to be identified and resolved earlier. Bug triaging is an important process in software maintenance. Some bugs are important and need to be fixed right away, whereas others are minor and their fixes could be postponed until resources are available. Most automatic bug assignment approaches do not take the priority of bug reports in their consideration. Assigning bug reports based on their priority may play an important role in enhancing the bug triaging process. In this paper, we present an approach to predict the priority of a reported bug using different machine learning algorithms namely Naive Bayes, Decision Trees, and Random Forest. We also investigate the effect of using two feature sets on the classification accuracy. We conduct experimental evaluation using open source projects namely Eclipse and Fire fox. The experimental evaluation shows that the proposed approach is feasible in predicting the priority of bug reports. It also shows that feature set 2 outperformsfeature set 1. Moreover, both Random Forests and Decision Trees outperform Naive Bayes."
"N Sreenivas, SJ Saritha",2017,Enhancement towards efficient bug triage with software data reducing methods,0,"Bug Triage is most important task of fixing bugs in computer code development organizations. It s methodology of allocating an accurate developer for fixing a bug. Sometimes in computer code implementing new bugs square measure manually triaged consummate developer. Thanks to the big range of bugs   also lack of experience of all bugs, the manual bug sorting is affluent in time price and low in acceptance. To say no the costly price in manual bug sorting, an automatic bug sorting approach is employed. For bug sorting information reduction techniques is employed to construct a tiny low scale and high superiority bug information by removing bug reports and words that square measure redundant or not useful. Thus we have tendency to square measure exploitation instance choice and have choice at same time with historical bug information sets. We ve got other a brand new module here as feedback session. During this system we are going to take the traditional feedback from the developer when finishing the bug."
CL Huntley,2006,A developmental view of system security,11,"Security policy can t be timeless, static, and universal. Security is more of a developmental problem than a technical one. Security should be integrated into an organization in such a way as to enhance and safeguard each facet in the least intrusive yet most effective way possible at a given time. Gradually, as the organization and the technology it uses  "
"CC Yeh, HL Lu, YH Lee, WS Chou ",2017,CRAXTriage: A coverage based triage system,0,"Software is getting complicated due to the changing needs and flourishing development of software industry. To better improve software quality, we have to find the major reasons which cause the program crash. However, debugging by software developer is not an efficient method, especially in large software. Many automated tools are developed to enhance the fault localization efficiency and reduce the maintenance cost. Most researches focus on improving the software testing process, and the primary triage method is based on the stack trace hash  e.g., smartfuzz, basic fuzzing framework and Failure Observation engine , and is unchanged for a long time. Therefore, we propose a new triage method based on binary block coverage. Our triage method is designed by analyzing the binary level coverage results, on every time the input causes the program crash. For the same crash input, we also use traditional stack trace hash method to contrast the flaws with our method. Our experiment results reveal that our proposed method based on code coverage exhibits better triages in terms of the number of unique bugs identified and correct classifications of faults."
"P Schugerl, J Rilling, P Charland",2008,Mining bug repositories a quality assessment,20,"The process of evaluating, classifying, and assigning bugs to programmers is a difficult and time consuming task which greatly depends on the quality of the bug report itself. It has been shown that the quality of reports originating from bug trackers or ticketing systems can vary significantly. In this research, we apply information retrieval  IR  and natural language processing  NLP  techniques for mining bug repositories. We focus particularly on measuring the quality of the free form descriptions submitted as part of bug reports used by open source bug trackers. Properties of natural language influencing the report quality are automatically identified and applied as part of a classification task. The results from the automated quality assessment are used to populate and enrich our existing software engineering ontology to support a further analysis of the quality and maturity of bug trackers."
"R Jaiswal, M Sahare, U Lilhore",2018,Genetic Approach based Bug Triage for Sequencing the Instance and Features,0,"In software industry analyzing bug by various tester and developer is a costly approach. So collecting these bug reports and triage is done manually which consume time with high rate of error. Here proposed work has focus on this triage of the bug reports by reducing the dataset size. In order to reduce cost of bug triage proper sequencing of the instance and feature selection is done. Here instance and feature selection are clustered by using list of words, keywords and bug id as fitness function parameters. Two stage learning genetic algorithm named as teacher learning based optimization was used for clustering. As genetic algorithms are unsupervised learning approach, so new set bug report triage is adopt by the proposed work. Experiment is done on real dataset of bug reports. Result shows that proposed work is better on precision value by 38.5  while execution time was reduce by 29.2  as compared with existing procedures."
"JR Goodall, H Radwan, L Halseth",2010,Visual analysis of code security,34,"To help increase the confidence that software is secure, researchers and vendors have developed different kinds of automated software security analysis tools. These tools analyze software for weaknesses and vulnerabilities, but the individual tools catch different vulnerabilities and produce voluminous data with many false positives. This paper describes a system that brings together the results of disparate software analysis tools into a visual environment to support the triage and exploration of code vulnerabilities. Our system allows software developers to explore vulnerability results to uncover hidden trends, triage the most important code weaknesses, and show who is responsible for introducing software vulnerabilities. By correlating and normalizing multiple software analysis tools  data, the overall vulnerability detection coverage of software is increased. A visual overview and powerful interaction allows the user to focus attention on the most pressing vulnerabilities within huge volumes of data, and streamlines the secure software development workflow through integration with development tools."
"S Mostafa, B Findley, N Meng ",2019,SAIS: Self Adaptive Identification of Security Bug Reports,0,"Among various bug reports  BRs , security bug reports  SBRs  are unique because they require immediate concealment and fixes. When SBRs are not identified in time, attackers can exploit the vulnerabilities. Prior work identifies SBRs via text mining, which requires a predefined keyword list and trains a classifier with known SBRs and non security bug reports  NSBRs . The former approach is not reliable, because  1  as the contexts of security vulnerabilities and terminology of SBRs change over time, the predefined list will become out dated  and  2  users may have insufficient SBRs for training. We introduce a semi supervised learning based approach,  tool, to adaptively and reliably identify SBRs. Given a project s BRs containing some labeled SBRs, many more NSBRs, and unlabeled BRs, SAIS iteratively mines keywords, trains a classifier based on the keywords from the labeled data, classifies unlabeled BRs, and augments its training data with the newly labeled BRs. Our evaluation shows that SAIS is useful for identifying SBRs."
"S Gujral, G Sharma, S Sharma",2015,Classifying bug severity using dictionary based approach,9,Bug tracking system allows user to report bugs that they encounter while operating the software. These bugs are then received by developers and they resolve these bugs according to their severity level. This task of assigning severity level is manual task that need expertise of assessing the severity level of reported bug. But if these reported bugs are large in number then manual process to assess severity level of bugs becomes very hectic. So there should be an automatic process to classify it so that bugs that need immediate fixation get resolved early. A few attempts have been made by researchers to automate the task. The approach followed in this paper has made an attempt to automate the bug severity classification using text mining technique and Na ve Bayes Multinomial classifier. This paper further proposes an approach of making this task more efficient using dictionary of bug terms.
"M Pereira, A Kumar ",2019,Identifying Security Bug Reports Based Solely on Report Titles and Noisy Data,0,"Identifying security bug reports  SBRs  is a vital step in the software development life cycle. In supervised machine learning based approaches, it is usual to assume that entire bug reports are available for training and that their labels are noise free. To the best of our knowledge, this is the first study to show that accurate label prediction is possible for SBRs even when solely the title is available and in the presence of label noise."
O Chaparro,2017,"Improving bug reporting, duplicate detection, and localization",5,"Software developers rely on essential textual information from bug reports  such as Observed Behavior, Expected Behavior, and Steps to Reproduce  to triage and fix software bugs. Unfortunately, while relevant and useful, this information is often missing, incomplete, superficial, ambiguous, or complex to follow. Low quality content in bug reports causes delay and extra effort on bug triage and fixing. Current technology and research are insufficient to support users and developers on providing high quality content in bug reports. Our research is intended to fill in this gap, as it aims at improving:  1  the quality of natural language content in bug reports, and  2  the accuracy of Text Retrieval  TR based bug localization and duplicate detection. To achieve such goals, our research will identify, enforce, and leverage the discourse that reporters use to describe software bugs."
MR Karim,2019,Key features recommendation to improve bug reporting,1,"Bug reports are the primary means through which developers triage and fix bugs. To achieve this effectively, bug reports need to clearly describe those features that are important for the developers. However, previous studies have found that reporters do not always provide such features. Therefore, we first perform an exploratory study to identify the key features that reporters frequently miss in their initial bug report submissions. Then, we plan to propose an automatic approach for supporting reporters to make a good bug report. For our initial studies, we manually examine bug reports of five large scale projects from two ecosystems such as Apache  Camel, Derby, and Wicket  and Mozilla  Firefox and Thunderbird . As initial results, we identify five key features that reporters often miss in their initial bug reports and developers require them for fixing bugs. We build and evaluate classification models using four different text classification techniques. The evaluation results show that our models can effectively predict the key features. Our ongoing research focuses on developing an automatic features recommendation model to improve the contents of bug reports."
"Y Kashiwa, H Yoshiyuki, Y Kukita ",2014,A pilot study of diversity in high impact bugs,8,"Since increasing complexity and scale of modern software products imposes tight scheduling and resource allocations on software development projects, a project manager must carefully triage bugs to determine which bug should be necessarily fixed before shipping. Although in the field of Mining Software Repositories  MSR  there are many promising approaches to predicting, localizing, and triaging bugs, most of them do not consider impacts of each bug on users and developers but rather treat all bugs with equal weighting, excepting a few studies on high impact bugs including security, performance, blocking, and so forth. To make MSR techniques more actionable and effective in practice, we need deeper understandings of high impact bugs. In this paper we report our pilot study on high impact bugs, which classifies bugs reported to four open source projects into six types of high impact bugs."
